score[]	person[]	method[]	chapter[]	days[]	n[]
1	32	1	2	2	1
1	33	1	2	2	1
1	34	1	2	2	1
1	35	1	2	2	1
1	36	1	2	2	1
1	37	1	2	2	1
1	38	1	2	2	1
1	39	1	2	2	1
1	1	1	2	7	1
1	2	1	2	7	1
1	3	1	2	7	1
0	4	1	2	7	1
1	5	1	2	7	1
1	6	1	2	7	1
1	7	1	2	7	1
1	8	1	2	7	1
1	9	1	2	7	1
1	10	1	2	7	1
1	11	1	2	7	1
1	12	1	2	7	1
1	13	1	2	7	1
1	14	1	2	7	1
1	15	1	2	7	1
1	16	1	2	7	1
1	17	1	2	7	1
1	18	1	2	7	1
1	19	1	2	7	1
1	20	1	2	7	1
0	21	1	2	7	1
1	22	1	2	7	1
1	23	1	2	7	1
0	24	1	2	7	1
1	25	1	2	7	1
1	26	1	2	7	1
1	27	1	2	7	1
1	28	1	2	7	1
1	29	1	2	7	1
1	30	1	2	7	1
1	31	1	2	7	1
1	32	1	2	7	1
1	33	1	2	7	1
1	34	1	2	7	1
1	35	1	2	7	1
1	36	1	2	7	1
1	37	1	2	7	1
1	38	1	2	7	1
1	39	1	2	7	1
1	1	2	2	6	1
1	2	2	2	6	1
1	3	2	2	6	1
1	4	2	2	6	1
1	5	2	2	6	1
0	6	2	2	6	1
1	7	2	2	6	1
1	8	2	2	6	1
1	9	2	2	6	1
1	10	2	2	6	1
1	11	2	2	6	1
1	12	2	2	6	1
1	13	2	2	6	1
1	14	2	2	6	1
1	15	2	2	6	1
1	16	2	2	6	1
1	17	2	2	6	1
1	18	2	2	6	1
1	19	2	2	6	1
1	20	2	2	6	1
1	21	2	2	6	1
1	22	2	2	6	1
1	23	2	2	6	1
1	24	2	2	6	1
1	25	2	2	6	1
1	26	2	2	6	1
1	27	2	2	6	1
1	28	2	2	6	1
1	29	2	2	6	1
1	30	2	2	6	1
1	31	2	2	6	1
1	32	2	2	6	1
1	33	2	2	6	1
1	34	2	2	6	1
1	35	2	2	6	1
1	36	2	2	6	1
1	37	2	2	6	1
1	38	2	2	6	1
1	39	2	2	6	1
1	1	2	2	62	1
1	2	2	2	62	1
1	3	2	2	62	1
0	4	2	2	62	1
1	5	2	2	62	1
1	6	2	2	62	1
1	7	2	2	62	1
1	8	2	2	62	1
1	9	2	2	62	1
1	10	2	2	62	1
1	11	2	2	62	1
1	12	2	2	62	1
1	13	2	2	62	1
1	14	2	2	62	1
1	15	2	2	62	1
1	16	2	2	62	1
1	17	2	2	62	1
1	18	2	2	62	1
1	19	2	2	62	1
1	20	2	2	62	1
1	21	2	2	62	1
1	22	2	2	62	1
1	23	2	2	62	1
1	24	2	2	62	1
1	25	2	2	62	1
1	26	2	2	62	1
1	27	2	2	62	1
1	28	2	2	62	1
1	29	2	2	62	1
1	30	2	2	62	1
0	31	2	2	62	1
0	32	2	2	62	1
1	33	2	2	62	1
1	34	2	2	62	1
1	35	2	2	62	1
1	36	2	2	62	1
1	37	2	2	62	1
1	38	2	2	62	1
1	39	2	2	62	1
3	1	1	3	2	3
1	2	1	3	2	3
2	4	1	3	2	3
3	5	1	3	2	3
3	6	1	3	2	3
2	7	1	3	2	3
3	8	1	3	2	3
1	9	1	3	2	3
3	10	1	3	2	3
3	11	1	3	2	3
2	12	1	3	2	3
3	13	1	3	2	3
3	14	1	3	2	3
2	15	1	3	2	3
3	16	1	3	2	3
3	17	1	3	2	3
3	18	1	3	2	3
3	19	1	3	2	3
3	20	1	3	2	3
3	21	1	3	2	3
